pond,date,time,temp_c,do_perc,ph,orp,cond,turb,chla,nh4_mgl,no3_mgl,par,do_mgl,depth_m,notes
Boyce,7/18/2023,11:45:44,25.63,134.4,9.01,137.4,34.6,5.04,33.56,0.1,0,2200.4,10.65,0.25,
Boyce,7/18/2023,11:46:28,25.54,139.6,8.91,139.1,34.1,5.59,39.35,0.1,0,504.4,11.08,0.5,
Boyce,7/18/2023,11:47:02,25.44,139.7,8.54,144.6,33,5.68,48.03,0.1,0,598.4,11.11,0.75,
Boyce,7/18/2023,11:47:44,25.18,137.1,8.43,150.7,32.9,6.12,53.29,0.1,0,266.5,10.95,1,
Boyce,7/18/2023,11:48:26,24.41,145.7,8.23,156.1,33.1,10.19,236.8,0.1,0,120.7,11.8,1.25,
Boyce,7/18/2023,11:49:22,23.03,114.6,6.43,188.3,33.7,3.71,85.2,0.1,0,94.5,9.53,1.5,
Boyce,7/18/2023,11:50:04,21.9,79.7,6.05,67.3,43,5.68,57.85,0.2,0,16.4,6.78,1.75,
Boyce,7/18/2023,11:50:58,20.44,39,6.25,-37.1,83.5,11.12,26.07,0.3,0,3.3,3.41,2,
Boyce,7/18/2023,11:51:52,18.69,18.9,6.38,-86.8,137.1,17.2,24.6,0.5,0,0.5,1.71,2.25,
Boyce,7/18/2023,11:52:32,18.42,13.4,6.33,-93.3,146.5,23.39,33.85,0.8,0,-0.4,1.22,2.5,bottom
Edwards,7/19/2023,15:00:13,26.65,93,7.57,67.7,436,-0.4,9.48,0.5,0,1088.3,7.23,0.25,
Edwards,7/19/2023,15:01:41,26.62,93.2,7.55,61.5,435.6,-0.13,9.75,0.5,0,529.6,7.24,0.5,
Edwards,7/19/2023,15:03:09,26.16,92.8,7.51,54.1,435.5,0.26,10.07,0.4,0,388.5,7.27,0.75,
Edwards,7/19/2023,15:04:27,25.93,91.1,7.51,58.5,433.6,0.13,10.57,0.4,0,247.5,7.17,1,
Edwards,7/19/2023,15:05:24,25.82,91,7.51,60.9,434.3,0.28,11.71,0.4,0,238.4,7.17,1.25,
Edwards,7/19/2023,15:06:12,25.69,90.8,7.5,63.7,434,0.1,10.71,0.4,0,117.1,7.18,1.5,
Edwards,7/19/2023,15:07:04,25.61,90.1,7.49,65.9,433.6,0.34,12.27,0.4,0,119.3,7.14,1.75,
Edwards,7/19/2023,15:08:42,25.52,87.9,7.47,70,433.6,0.65,12.15,0.4,0,227.6,6.97,2,
Edwards,7/19/2023,15:10:08,25.48,87.4,7.46,73.3,433.4,0.24,11.14,0.4,0,175.6,6.94,2.25,
Edwards,7/19/2023,15:12:36,25.45,86.2,7.45,78.1,433.4,0.58,11.68,0.4,0,272,6.85,2.5,
Edwards,7/19/2023,15:13:24,25.44,86,7.45,79.4,433.2,0.58,13.14,0.4,0,88.9,6.83,2.75,
Edwards,7/19/2023,15:15:30,25.33,82.4,7.41,83.5,433.9,0.52,12.47,0.4,0,82.7,6.56,3,
Edwards,7/19/2023,15:21:50,24.8,37.2,7.18,90.8,444.4,1.59,11.48,0.4,0,30.1,2.99,3.25,
Edwards,7/19/2023,15:25:09,23.14,5.8,7.19,74.9,476.6,2.81,14.93,0.4,0,21.2,0.48,3.5,
Edwards,7/19/2023,15:26:37,22.8,3.5,7.17,20,484.6,4.23,67.46,0.5,0,8.2,0.29,3.7,bottom
Howarth,7/19/2023,11:17:52,24.87,54,7.32,140.1,614.3,0.51,31.96,0.8,0.1,3427.9,4.33,0.25,
Howarth,7/19/2023,11:19:52,24.6,54.9,7.36,142.7,611.8,0.37,45.27,0.7,0.1,1529.3,4.42,0.5,
Howarth,7/19/2023,11:21:46,24.5,50.2,7.3,147.8,615.5,0.81,55.74,0.7,0.1,1065.7,4.05,0.75,
Howarth,7/19/2023,11:23:58,24.36,42.6,7.28,150.3,616.8,1.36,87.91,0.7,0.1,388.8,3.45,1,
Howarth,7/19/2023,11:27:06,24.29,52,7.32,153.3,613.5,1.57,83.23,0.6,0.2,529,4.22,1.25,
Howarth,7/19/2023,11:32:18,23.97,20.6,7.13,92.7,634.2,4.17,210.95,0.7,0.2,372.8,1.68,1.5,
Howarth,7/19/2023,11:34:23,23.37,10.3,6.92,-82.1,711.6,20.56,53.21,1,0.2,175.2,0.85,1.75,
Howarth,7/19/2023,11:37:09,21.66,2.8,6.67,-153.8,906,47.92,25.77,3.3,1.1,131.7,0.24,2,
Howarth,7/19/2023,11:39:51,19.42,0.5,6.5,-158.7,1123,19.8,17.64,9.9,0.8,22,0.05,2.22,
